iter	Passed	Remaining
0	371	557012
1	749	561629
2	1082	540186
3	1443	539742
4	1821	544694
5	2116	527004
6	2474	527697
7	2784	519308
8	3092	512370
9	3359	500595
10	3677	497843
11	4021	498675
12	4328	495102
13	4673	496079
14	5040	498984
15	5378	498841
16	5751	501743
17	6083	500885
18	6378	497207
19	6674	493898
20	6998	492921
21	7352	493921
22	7703	494725
23	8044	494740
24	8395	495342
25	8742	495615
26	9046	493519
27	9397	494035
28	9745	494314
29	10045	492223
30	10367	491278
31	10701	490913
32	11037	490678
33	11393	491263
34	11659	488012
35	12018	488771
36	12253	484500
37	12616	485393
38	12958	485447
39	13180	481081
40	13505	480609
41	13889	482158
42	14218	481759
43	14575	482319
44	14883	481217
45	15240	481739
46	15577	481565
47	15919	481576
48	16284	482211
49	16653	482943
50	17000	483024
51	17303	481830
52	17672	482496
53	17984	481587
54	18284	480393
55	18558	478541
56	18863	477545
57	19209	477580
58	19588	478435
59	19746	473908
60	20109	474384
61	20458	474497
62	20818	474862
63	21172	475063
64	21534	475423
65	21886	475540
66	22257	476046
67	22629	476553
68	22962	476217
69	23308	476150
70	23645	475899
71	24001	476032
72	24348	475967
73	24694	475866
74	25068	476306
75	25378	475513
76	25765	476159
77	26131	476395
78	26498	476634
79	26834	476311
80	27171	475996
81	27538	476221
82	27893	476199
83	28252	476249
84	28585	475869
85	28932	475698
86	29263	475275
87	29618	475242
88	29945	474761
89	30281	474416
90	30629	474251
91	30965	473903
92	31315	473775
93	31625	473033
94	31974	472884
95	32298	472364
96	32648	472226
97	32987	471919
98	33330	471680
99	33698	471774
100	34049	471634
101	34374	471128
102	34744	471247
103	35104	471204
104	35498	471617
105	35871	471750
106	36212	471438
107	36589	471594
108	36960	471664
109	37284	471144
110	37687	471603
111	38047	471513
112	38442	471854
113	38781	471495
114	39135	471332
115	39485	471106
116	39820	470694
117	40179	470575
118	40556	470662
119	40922	470605
120	41289	470562
121	41622	470131
122	41984	470019
123	42330	469731
124	42588	468470
125	42944	468295
126	43283	467942
127	43673	468129
128	44056	468231
129	44417	468088
130	44732	467474
131	45103	467437
132	45502	467688
133	45821	467105
134	46228	467419
135	46668	468055
136	46937	466977
137	47308	466917
138	47725	467297
139	48167	467917
140	48566	468101
141	48924	467880
142	49264	467493
143	49658	467619
144	49983	467086
145	50359	467028
